name,price,description,link_image
Cát Vệ Sinh Kún Miu Hương Cà Phê 8L - Tinh Chất Than Hoạt Tính Và Zeolite Cao Cấp (8LCFKM),60.000₫,"Cát vệ sinh cho mèo Kún Miu hương Cà Phê 8L được sản xuất hoàn toàn từ 100% đất sodium bentonite chất lượng cao theo quy trình hiện đại, với các tính năng vượt trội sau:
- Tinh chất than hoạt tính giúp khử mùi cực kì hiệu quả.
- Tinh chất zeolite giúp tăng độ vón, thấm hút cực nhanh và hiệu quả. Kún Miu là sản phẩm đầu tiên của VN áp dụng công nghệ này.
    - Kết dính nhanh, độ vón tốt, dễ dàng xúc bỏ.
    - Khử mùi hiệu quả, chống ẩm, mùi hương dễ chịu.
    - Giảm 99,9% bụi, an toàn sử dụng với người và thú cưng.
    - Sản phẩm sạch có nguồn gốc thiên nhiên, thân thiện với môi trường.
Ưu điểm của Cát vệ sinh cho mèo Kún Miu hương Cà Phê 8L so với những sản phẩm cát vệ sinh thông thường khác:
    1. Siêu thấm hút, sử dụng tiết kiệm
Được cấu tạo từ 100% nguyên liệu đất sét sodium bentonite và bằng việc sử dụng công nghệ hiện đại, các hạt cát vệ sinh có hình dạng tròn nhờ đó mà cát kết dính cực nhanh với chất thải của mèo, thẩm thấu tốt, sử dụng tiết kiệm hơn rất nhiều so với những sản phẩm thông thường khác.
    2. Ít bụi, thân thiện với môi trường
Sử dụng công nghệ tiên tiến trên thế giới về khử bụi và quá trình tiệt trùng bằng nhiệt độ cao để chắt lọc thành phần đất sét sodium bentonite tinh khiết nhất cho sản phẩm.
    3. Hương thơm tự nhiên, khử mùi hiệu quả
Cát vệ sinh cho mèo Kún Miu hương Cà Phê 8L áp dụng công nghệ hiện đại giúp hạt cát với hương thơm dễ chịu, không gây kích ứng cho người và vật nuôi, đặc biệt có khả năng khử mùi cực kì hiệu quả và lưu giữ hương thơm được dài lâu.
+ Dung tích : 8L
+ Quy cách đóng gói : 4 túi/ tải
   ",https://bizweb.dktcdn.net/100/229/172/products/cat-km-8l-caphe-1.jpg?v=1561820833503
Xẻng Xúc Cát Cho Mèo Lỗ Tròn Nhỏ (PK),20.000₫,"THÔNG TIN CHI TIẾT
 Thương hiệu  Kún Miu
 Xuất xứ TH   Việt Nam
 Chất liệu
 Nhựa cao cấp 
 HDSD  Dùng để xúc cát vệ sinh cho mèo
 Xuất xứ  Trung Quốc
 Kích thước  25,5 x 11cm
 Màu sắc  Hồng, xanh lá, xanh dương
MÔ TẢ SẢN PHẨM
Xẻng xúc cát cho mèo lỗ tròn nhỏ là dụng cụ vệ sinh dùng để xúc cát và dọn phân, nước tiểu vón cục trong khay sau khi mèo đi vệ sinh.
Xẻng xúc cát cho mèo lỗ tròn nhỏ được làm từ nhựa cao cấp có độ bền cao và an toàn với vật nuôi, người dùng. Thiết kế thông minh với ô lọc cát hình tròn với lỗ to dần từ trong ra ngoài giúp các hạt cát vón cục dù là bé nhất cũng sẽ không bị lọt xuống như các loại xẻng thông thường.
Xẻng xúc cát cho mèo lỗ tròn nhỏ giúp chúng ta dễ dàng dọn vệ sinh cho mèo, giúp khay cát vệ sinh luôn sạch sẽ và thơm tho.
Xẻng xúc cát cho mèo lỗ tròn nhỏ có 3 màu sắc: hồng, xanh lá, xanh dương.
Kích thước: 25,5 x 11cm.
Kích thước xẻng xúc cát cho mèo lỗ tròn",https://bizweb.dktcdn.net/100/229/172/products/xeng-lo-tron.jpg?v=1599229185393
Gắp Phân Cho Chó Hình Bò Sữa (Gpbs),55.000₫,"+ Chỉ cần phủ giấy ăn lên trên phân ,và dùng kẹp và gắp bỏ vào túi ,rồi dùng vòi xịt và rửa sạch ..
+ Gắp phân cho chó hình bò sữa với chất liệu nhựa bền và dẻo nên hoàn toàn yên tâm sử dụng lâu dài, tiện lợi và sạch sẽ

+  Có 2 màu : Xanh + Hồng 
+ Kích cỡ Gắp phân cho chó hình bò sữa : 16x10x15 cm
- Sản phẩm Gắp phân cho chó hình bò sữa được bán tại Kún Miu pet shop",https://bizweb.dktcdn.net/100/229/172/products/gap-phan-hinh-bo-sua-min.jpg?v=1547084515250
Khăn Siêu Thấm Cho Chó Mèo Kimpets (BT),60.000₫,"Khăn siêu thấm cho chó mèo Kimpets siêu thấm nước là sản phẩm không thể thiếu cho các bạn nuôi chó mèo lông dài
Đây là khăn siêu thấm nước sản xuất trên dây chuyền công nghệ đặc biệt, không giống với các khăn bông thông thường khác..
Khăn siêu thấm cho chó mèo Kimpets 66x43cm có khả năng hút nước rất nhanh trong thời gian ngắn
Một khăn hút nước có thể tương đương với 10 khăn bông thông thường, do vậy tiết kiệm rất nhiều thời gian trong quá trình lau khô cho vật nuôi
Cách dùng rất đơn giản: sau khi tắm xong, bạn dùng khăn lau cho thú cưng như các khăn bình thường khác, sau đó giặt sạch để loại bỏ lông rụng.
Đặc biệt, khăn này không cần phơi như các khăn thông thường, bạn chỉ cần vắt nước là cất luôn được nhé. khi nào dùng lại thì ngâm nước cho khăn mềm trở lại.
- Sản phẩm Khăn siêu thấm Kimpets được bán tại hệ thống Kún Miu pet shop",https://bizweb.dktcdn.net/100/229/172/products/khan-sieu-tham-kim-pet-min.jpg?v=1551121779940
Rọ Mõm Inox Tròn Dây Da Cho Chó,85.000₫,"Đặc điểm nổi bật của Rọ mõm inox tròn dây da cho chó:
  + Chiếc rọ mõm sẽ là một phụ kiện không thể thiếu giúp đảm bảo an toàn cho những người xung quanh khi bạn đưa cún yêu đến những nơi công cộng..
  + Với thiết kế chắc chắn nhưng mềm mại, đồng thời đầu rọ được thiết kế thoáng, rọ mõm Inox sẽ mang đến cho chú cún cưng của bạn cảm giác thật thoải mái khi đeo.
  Đặc điểm nổi bật của Rọ mõm inox tròn dây da cho chó:
  - Thiết kế mềm mại và đầu rọ được thiết kế thoáng giúp mang đến cho chú cún cưng cảm giác thoải mái và êm ái khi đeo.
  - Thiết kế khóa nới linh động giúp bạn dễ dàng canh chỉnh sao cho chú cún cưng cảm thấy thoải mái nhất
  - Có nhiều kích thước khác nhau phù hợp cho thú cưng nhà bạn
  - Màu sắc đơn giản với thiết kế tinh tế.
 ",https://bizweb.dktcdn.net/100/229/172/products/ro-mom-inox-3.jpg?v=1551496004227
Chai Xịt Vệ Sinh Đúng Chỗ Bobo,50.000₫,"Dung dịch giúp vật nuôi Chai xịt vệ sinh đúng chỗ Bobo là sản phẩm của BOBO, một thương hiệu lớn và nổi tiếng chuyên sản xuất và kinh doanh các loại phụ kiện cho chó mèo như: dầu gội đầu, dây xích chó, đồ chơi thú cưng, nhà ở vật nuôi...nổi tiếng đến từ Trung Quốc. Với đội ngũ nhân viên giàu kinh nghiệm trong lĩnh vực này, BOBO luôn tự tin mang đến những sản phẩm tuyệt vời với giá cả cạnh tranh nhất. Sản phẩm được phân phối ở nhiều nước trên toàn thế giới..
Sản phẩm Chai xịt vệ sinh đúng chỗ Bobo dựa trên thói quen đi vệ sinh của vật nuôi và nhu cầu sinh hoạt của người dân hiện nay, sử dụng nguyên liệu đặc biệt chế tạo ra. Có khả năng nuôi dưỡng và tạo thành thói quen tốt là đi vệ sinh đúng chỗ, giúp cho môi trường nhà cửa sạch sẽ.

Hướng dẫn sử dụng sản phẩm Chai xịt vệ sinh đúng chỗ Bobo

Khi thấy vật nuôi chuẩn bị đi vệ sinh, hãy dắt vật nuôi tới chỗ bạn đã chuẩn bị sẵn dùng làm vệ sinh cho chúng.
Lấy chai xịt dung dịch xịt vào chỗ vệ sinh. 
Sau khi vật nuôi ngửi thấy mùi sẽ dần hình thành phản xạ và trở thành thói quen đi vệ sinh đúng chỗ.
Dung tích : 60ml
- Sản phẩm được bán tại Kún Miu pet shop",https://bizweb.dktcdn.net/100/229/172/products/xit-ve-sinh-bobo-min.jpg?v=1533251747603
Khay Vệ Sinh Cho Chó Có Tường Chắn Diil LS180-LS181,200.000₫,"Khay vệ sinh cho chó có tường chắn Diil LS180 - LS181 là sản phẩm khay vệ sinh dùng để cho chó đi vệ sinh trong nhà, đặc biệt phù hợp với những gia đình ở chung cư hay khu dân cư không có chỗ cho chó đi vệ sinh..
Khay vệ sinh cho chó có tường chắn Diil LS180 - LS181được sản xuất từ vật liệu nhựa cao cấp an toàn cho người và vật nuôi.
Cấu tạo của sản phẩm bao gồm 1 khay vệ sinh + 1 bức tường nhựa + 1 trụ nhựa.
Phần lót khay vệ sinh có thể tháo rời để rửa dễ dàng.
Kích thước - Trọng lượng 
Size S - LS180 - KT :46.5*35.5*5.5cm -  1.1kg
Size M - LS181 - KT: 67*46*8cm - 2.2 kg",https://bizweb.dktcdn.net/100/229/172/products/khay-ve-sinh-co-tuong-diil-5.jpg?v=1560014769253
Cây Lăn Lông Mèo 60 Lớp Và 2 Lõi Thay,50.000₫,"Cây lăn lông mèo 60 lớp và 2 lõi thay là vật dụng không thể thiếu nhất là vào mùa lông chó mèo rụng nhiều hiện nay.
Cây lăn lông mèo 60 lớp và 2 lõi thay được làm từ nhựa và những tấm băng keo đặc biệt với công dụng lăn bụi bẩn, lông thú cưng dám dính trên quần áo, chăn gối, ghế và giường.
Sản phẩm tiện dụng sẽ giải quyết tất cả những nỗi lo về lông thú cưng bám trên đồ dùng và vật dụng nhà bạn, giúp lấy đi hết mọi bụi bẩn trong thời gian ngắn nhất.
Kích thước Cây lăn lông mèo 60 lớp và 2 lõi thay: Chiều dài 17cm x chiều rộng 10,8cm; Lõi có chiều dài: 3cm x chiều rộng: 10cm.",https://bizweb.dktcdn.net/100/229/172/products/cay-lan-bui-plus-loi-thay-1000x1000px-dee67d6e-313a-4fb5-ab6a-248eb1128c5c.jpg?v=1532697348307
Xẻng Xúc Cát Kèm Hộp Đựng Cho Mèo (BT),120.000₫,"Xẻng xúc cát kèm hộp đựng cho mèo là loại xẻng dọn vệ sinh cho mèo vô cùng tiện lợi khi được thiết kế thông minh, tiện dụng, chắc chắn và đặc biệt chất liệu nhựa PP thân thiện với môi trường..
Xẻng xúc cát kèm hộp đựng được cấu tạo bao hôm 1 xẻng có lưới để dễ dàng xúc chất thải của mèo, phía cuối xẻng kèm theo 1 chiếc hộp để đựng chất thải.
Khi sử dụng bạn chỉ cần lót 1 túi nilon nhỏ ở hộp đựng rồi lắp xẻng vào, chất thải sẽ tự động rơi vào hộp. Sau khi dọn dẹp xong chỉ cần tháo túi đem đổ, rất vệ sinh và tiện
Kích thước : 30*15*15cm",https://bizweb.dktcdn.net/100/229/172/products/hop-xuc-cat-meo-4.jpg?v=1581616296063
Khay Vệ Sinh 0051 - Xanh Lá,120.000₫,"Sản phẩm Khay vệ sinh cho mèo 0051 có kèm Xẻng xúc phân là sản phẩm dùng để đựng cát vệ sinh cho mèo, giúp mèo đi vệ sinh đúng chỗ..
Sản phẩm được làm từ chất liệu nhựa PP không độc hại, an toàn cho người và vật nuôi.
Khay vệ sinh 0051 hình dáng chữ nhật bo cong 4 góc rất hiện đại, có 3 màu sắc là hồng, xanh lá và xanh dương.
Kích cỡ Sản phẩm : 46*35*10.5cm
Công dụng của sản phẩm:
- Giúp thú cưng đi vệ sinh được dễ dàng hơn.
- Xẻng đi kèm giúp bạn dễ dàng dọn dẹp, lau chùi và vệ sinh hơn; không bị vấy bẩn ra khắp nhà.
- Phần nắp cong vào bên trong giúp cho cát vệ sinh không bị bắn tung tóe khi thú cưng đi vệ sinh.
- Bạn có thể đổ cát vệ sinh hoặc tấm lót hút khử mùi bên dưới khay để loại bỏ mùi hôi của phân và nước tiểu.
- Sản phẩm Khay vệ sinh cho mèo 0051 rất tiện lợi cho những gia đình ở thành phố không có nhiều không gian.",https://bizweb.dktcdn.net/100/229/172/products/khay-ve-sinh-cho-meo-0051-2.jpg?v=1570024058767
Cát Gỗ Thông Premium Nature Pine Wood,25.000₫,"THÔNG TIN CHI TIẾT
 Xuất xứ  Italia 
 Thành phần  100% từ tự nhiên, thành phần tự phân huỷ
 HDSD  Dùng cho thú cưng đi vệ sinh với sự thấm hút tuyệt vời chỉ sau 2s
 Thể tích  
 Khối lượng  
MÔ TẢ SẢN PHẨM
Cát gỗ thông Premium Nature Pine Wood nổi tiếng trên thị trường với công nghệ vượt trội từ Ý thấm hút và khử mùi nhanh chỉ sau 2s.
Cát gỗ thông Premium Nature Pine Wood nổi tiếng với thành phần thiên nhiên, không gây hại cho mèo, hamster, nhím,... và con người khi sử dụng. Với thành phần tự phân huỷ 100% và mùi hương tự nhiên, sản phẩm chắc chắn sẽ làm bạn hài lòng khi lựa chọn cho thú cưng đi vệ sinh. Đặc biệt, bạn có thể hoàn toàn xử lí chất thải và cát gỗ thông này bằng bồn cầu.
Cát gỗ thông Premium Nature Pine Wood sẽ ngăn chặn vi khuẩn phát triển tối đa, giữ cho chậu vệ sinh của thú cưng luôn sạch sẽ. 
Sản phẩm đảm bảo an toàn, không gây hại cho môi trường, không chất bảo quản và không có hương liệu.
#catvesinh #thucung #kunmiupetshop
 ",https://bizweb.dktcdn.net/100/229/172/products/ca-t-go-tho-ng-premium-nature-pine-wood-1.jpg?v=1654931263203
Khay Vệ Sinh Cỡ Lớn Cho Mèo 0165,200.000₫,"Sản phẩm Khay vệ sinh cho mèo 0165 có kèm Xẻng xúc phân là sản phẩm dùng để đựng cát vệ sinh cho mèo, giúp mèo đi vệ sinh đúng chỗ..
Sản phẩm được làm từ chất liệu nhựa PP không độc hại, an toàn cho người và vật nuôi..
Khay vệ sinh 0165 hình dáng chữ nhật bo cong 4 góc, thành cao rất hiện đại, có 3 màu sắc là hồng, xanh lá và xanh dương.
Kích cỡ Sản phẩm : 56*45*24cm
Công dụng của sản phẩm:
- Giúp thú cưng đi vệ sinh được dễ dàng hơn.
- Xẻng đi kèm giúp bạn dễ dàng dọn dẹp, lau chùi và vệ sinh hơn; không bị vấy bẩn ra khắp nhà.
- Phần nắp cong vào bên trong giúp cho cát vệ sinh không bị bắn tung tóe khi thú cưng đi vệ sinh.
- Bạn có thể đổ cát vệ sinh hoặc tấm lót hút khử mùi bên dưới khay để loại bỏ mùi hôi của phân và nước tiểu.
- Sản phẩm Khay vệ sinh cho mèo 0165 rất tiện lợi cho những gia đình ở thành phố không có nhiều không gian.",https://bizweb.dktcdn.net/100/229/172/products/khay-ve-sinh-cho-meo-0165-2.jpg?v=1570025151923
Xẻng Hót Phân Cho Mèo Cán Dài (PK),50.000₫,"- Xẻng hót phân cho mèo cán dài là dụng cụ dọn dẹp khay vệ sinh cho mèo, cụ thể là dọn phân, nước tiểu vón cục trong khay, giúp chúng ta dễ dàng loại bỏ những chất thải của mèo và giữ lại phần cát vệ sinh còn sạch..
- Sản phẩm được sản xuất từ vật liệu nhựa cao cấp có độ bền cao, hiết kế có rãnh để lọc các hạt cát vón cục, giúp việc vệ sinh khay cát của mèo trở nên dễ dàng hơn.
- Xẻng hót phân cán dài có chiều dài 33,5 cm, độ rộng của phần xúc là 11 cm, chiều dài phần xúc là 12,5 cm
- Xẻng có trọng lượng nhẹ giúp chung ta dễ dàng sử dụng bằng 1 tay.
Sản phẩm được bán tại tất cả các chi nhánh của Kún Miu pet shop, cũng như website kunmiu.vn hoặc các kênh thương mại điện tử của Kún Miu.
 ",https://bizweb.dktcdn.net/100/229/172/products/xeng-hot-phan-can-dai.jpg?v=1504433068057
Máy Mài Móng Cho Chó Mèo Codos,350.000₫,"Bạn là người thích nuôi thú cưng, bạn đang sở hữu 1 chú cún hay 1 chú mèo dễ thương thì ngoài việc lo cho các cún bữa ăn thì việc tắm rửa, vệ sinh, cắt lông, tỉa lông cho các cún là việc bạn thường xuyên phải làm. Ngoài ra việc cắt móng, mài móng cho thú cưng cũng là công việc mà nhiều bạn nuôi thú cần chú ý, quan tâm.
Máy mài móng cho chó mèo Codos  sẽ giúp các bạn cắt móng cho thú cưng một cách dễ dàng. Máy mài móng cho chó được thiết kế với động cơ mạnh mẽ, hoạt động liên tục trong 2 tiếng đồng hồ. Có khả năng mài móng nhanh, đẹp mà không làm thú cưng sợ hãi. Thiết kế gọn nhẹ, có thể cắm điện trực tiếp đồng thời mài móng cho chó mèo.
Thông tin sản phẩm:
-  Máy mài móng cho chó mèo Codos.
-  Điện áp 100-240V
-  Trọng lượng: 180gram.
-  Adapter input AC 100-200V 50/60Hz
-  Output DC 2.4V/800mA
-   Bảo hành: 12 tháng.
  Tên sản phẩm
Máy Mài Móng Cho Chó Mèo CP
   Màu sắc
Trắng
  Trọng lượng:
300g
  Kích thước máy:
4cm x 15cm
  Chất liệu:
Nhựa ABS
  Đối tượng sử dụng:
Chó, mèo,...
  Sạc:
  Nguồn: AC 100-240V  50/60Hz   DC  2.  4V  800mA
Thời gian sạc: 2 giờ
Sử dụng: 3 giờ
    Pin:
  Ni-Mh 1.2V 450mAh
    Tiếng ồn:
< 50 db ( bằng tiếng máy điều hòa)
  Đặc điểm nổi bậc
  -    Thiết kế nhỏ gọn, dễ cầm nắm, cắt được ở những góc, khuỷu.
-    Máy có đèn led báo pin
-    Đầu mài có thể tháo rời, dễ dàng vệ sinh.
-    Sạc nhanh, thời gian sử dụng lâu vượt trội.
-    Công tắt trên thân máy, dễ dàng sử dụng bằng hai tay.
    Sản xuất - thiết kế:
  -  Thiết kế: sản phẩm được thiết kế tại Hàn Quốc.
-  Sản xuất: tại nhà máy codos electrical appliances co. Ltd - Thẩm Quyến -  Trung Quốc theo những tiêu chuẩn khắc khe nhất của các kĩ sư người Hàn Quốc.
    Bộ sản phẩm bao gồm
  -  Thân máy Máy mài móng cho chó mèo Codos.
-  Sạc với dây dài, có thể dùng điện trực tiếp.
-  Hướng dẫn sử dụng
  Lưu ý khi sử dụng:
  -  Sau khi sử dụng xong, vệ sinh máy cẩn thận, tăng thời gian sử dụng.",https://bizweb.dktcdn.net/100/229/172/products/1286-0-codos-cp3300-may-mai-mong-cho-cho-meo-1000-px-min.jpg?v=1532705355127
Cát Lót Chuồng Cho Thú Cưng Nhỏ (Cvs1),15.000₫,"THÔNG TIN CHI TIẾT
 Xuất xứ  Kún Miu
 Chất liệu  100% đất sodium bentonite
 Trọng   lượng  1kg
 HDSD  Sản phẩm dùng để lót chuồng, chậu vệ sinh cho thú cưng nhỏ
 Lưu ý  Để ở nơi khô ráo, thoáng mát
MÔ TẢ SẢN PHẨM
Cát lót chuồng cho thú cưng nhỏ là loại cát được yêu thích hiện nay bởi người nuôi thỏ, chuột, nhím, hamster,... 
TÍNH NĂNG Cát lót chuồng cho thú cưng nhỏ:
- Được sản xuất với chất lượng cao theo quy trình hiện đại, với các tính năng vượt trội như kết dinh nhanh, độ vón tốt, dễ dàng xúc bỏ
- Khử mùi hiệu quả, chống ẩm tốt
- Giảm 99% bụi, an toàn cho người và vật nuôi với hương thơm dễ chịu
- Sản phẩm sạch có nguồn gốc thiên nhiên, thân thiện với môi trường.
Cát lót chuồng cho thú cưng nhỏ có dạng hạt tròn, dễ dàng thấm hút, tạo sự dễ chịu cho thú cưng, giúp chúng luôn sạch sẽ mà không lo cát bị vướng trên lông sau khi đi vệ sinh.
#catvesinh #catlitter #hamster #kúnmiu #pet
Cát lót chuồng cho thú cưng nhỏ
  Hạt cát lót chuồng cho thú cưng nhỏ
 ",https://bizweb.dktcdn.net/100/229/172/products/cat-lot-chuong-hamster-2.jpg?v=1617208009273
Khay Vệ Sinh Cho Mèo Hình Chữ Nhật (Kvs),100.000₫,"Sản phẩm Khay vệ sinh cho mèo hình chữ nhật có kèm Xẻng xúc phân:
Giúp thú cưng đi vệ sinh được dễ dàng hơn.
Xẻng đi kèm giúp bạn dễ dàng dọn dẹp, lau chùi và vệ sinh hơn; không bị vấy bẩn ra khắp nhà..
Phần nắp giúp cho cát vệ sinh không bị bắn tung tóe khi thú cưng đi vệ sinh.
Bạn có thể đổ cát vệ sinh hoặc tấm lót hút khử mùi bên dưới khay để loại bỏ mùi hôi của phân và nước tiểu.
Sản phẩm Khay vệ sinh cho mèo hình chữ nhật rất tiện lợi cho những gia đình ở thành phố không có nhiều không gian.
Kích thước : 40cm x 31cm x 12cm",https://bizweb.dktcdn.net/100/229/172/products/khay-ve-sinh-cho-thu-cung-vs1201-e-2.jpg?v=1553093806707
